,id,file,year,newspaper,city,TAG,text
19,74547,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_341__page_14.json,1881,Papel Periodico ilustrado,Cali,NEUTRO,"cibai y cortes de mesa con la llegada de d.  lope diez aux de armendariz, que entro en santafe el 29 de agosto de 1578.  al ano siguiente, los habitantes de la ciudad lloraron la muerte de su ilustre fundador d.  gonzalo jimenez de quesada, acaecida en mariquita, y la del esforzado capitan suarez rondon, fundador de tunja.  en 1580 entro a gobernar d.  juan bautista monzon, suegro de dona jeronima de orrego, y acaecio durante la administracion de este magistrado el asesinato perpetrado en la calle del arco por d.  andres cortes de mesa y por d.  andres escobedo, en la persona de juan de los rios.  uno y otro fueron aprehendidos por juan diaz de martos, alguacil mayor de la corte, y sufrieron la pena capital en la plaza mayor de santafe en 1581.  el oidor fue degollado, y enterraron en la tierra una piedra para marcar el sitio de la ejecucion, pues la plaza en aquel tiempo, como otra vez se ha dicho, no estaba empedrada.  escobedo fue ahorcado y luego le cortaron la cabeza, la cual fue puesta en la picota o arbol de la justicia, que entonces se hallaba en mitad de la plaza, donde despues se coloco una fuente, que es la misma que hoy se ve en la plazuela de san carlos."
20,1645,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD751_El zancudo_results/PD751_El zancudo__10__page_2.json,1890,El zancudo,Santafé de Bogotá,NEGATIVO,"al senor zota, usando de los apremios que la ley se tu prole quiza ti mismo puedas educar la famili nala.  por el proximo correo lo enviare los pormenores que recojet senior director recibido su telegrama.  ayer en tren de las 8 a.  m.  siguio quevedo para  juntas  a despachar cargas para bogota.  por informes acordes sabemos que al llegar el tren y al bajar quevedo, lo atacaron con revolver en mano horacio y arturo saenz, hijos del administrador, quienes teniendo, por telegrafo de la empresa, conocimiento de su llegada, lo acechaban en punto preciso, haciendole fuego a quemarropa, i pesar de manifestarles que iba desarmado, uno de los primeros tiros entrole abajo del hombro izquierdo pasandole el corazon y los pulmones, y saliendo por el higado.  esta lerida le causo muerte casi inttantaner lo que no basto a impedir siguieran disparandole al cadaver e irrogandole ofensas.  una bala atraveso el higado al seffor antonio marie hinestrosa, y se sabe por telegrama de tocaima, que los medicos opinan que la herida es mortal."
22,51634,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_347__page_18.json,1881,Papel Periodico ilustrado,Cali,POSITIVO,"cias proporcionadas para lograrlas, y procurando en ello la mayor brevedad posible a fin de oir sobre todo al neal acuerdo, e informar en consecuencia a su majestad por mi parte segun se me previene.  dios guarde 11v.  kl.  muchos anos .  santafe y 1? de abril de 1805 .  antonio amar .  al ilustre oabildo de esta cupital.  nos atrevemos a pensar que, si no la oorte le espaua, a lo menos e! virey quiso poner ii prueba los sentimientos patriuticos de los hombres prominentes del pais, pues junto a la comunicaciun que dejamos copiada existe cl borrador de una circular, y almargen nna lista de los individuos a quienes debia pasarse.  i,a circular diec asi oon el plausible motivo del casamiento del principe nuestro sefior con la serenisima illincesa.  de napoles se ha dignado s.  i.  conceder a naturales de este vireinato la gracia ne dos titulos de castilla .  y siendo la real volunta,d que hcligaren sujetos henemeritos y de las correspondientes circunstancias cualidades en ushtl, se lo comunico de orden del excelentisimo sefior vire, a fin de que se sirva decirme si su voluntad se hallil dispuestl a admitir alguna de las referidas gla."
23,73176,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_338__page_13.json,1881,Papel Periodico ilustrado,Cali,NEUTRO,"el profesor swallow describe uno de estos mounds, cuyo eje mayor tiene 900 pies en su base y 570 en su cima.  ofrece el hecho interesante de contener una camara interior, formada de estacas gruesas de madera de cedro, unidas entre si por fragmentos de canas  arundinaria macrosperma, y revestidas por panete bruto en el exterior, y alisado con cuidado y pintado de rojo en el interior.  las excavaciones han dado alli numerosas piezas ceramicas, de las cuales habia una modelada sobre un craneo humano.  4o los montecillos artificiales, que segun squier fueron destinados a los sacrificios, son de forma cuadrada 6 de paralelogramo, otras veces son redondos 6 elipticos.  tienen un altar colocado al nivel de su suelo, y formado de capas sucesivas y horizontales de cascajo 6 pedriscos, de tierra y de arena.  los altares estan construidos de piedras planas, de adobes 6 de ladrillos de arcilla.  tiene senales de haber sufrido un fuego violento, que, segun opinion de algunos anticuarios, era el medio de purificar las ofrendas que se hacian a los dioses."
24,98259,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD810_El diario de Cundinamarca_results/PD810_El diario de Cundinamarca__Octubre 1892__page_22.json,1869,El diario de Cundinamarca,Bogotá,NEGATIVO,"para demostrar como prosoden los auten marca en au numerd 65, de 30 de septiem feas manchas coloradas.  aqni, pues, la mal , tovieran los conocimientos que exige 1 tigos asalladores del tesoro, nos hemos valido bre ultimo, y todo, y no mis que todo oo vada no fus ta madrastra.  de documentos oficiales  aun laneruos otro refunsa de su ilustre amo, don jose santoa.  ea la hacienda de bouts, juriliccian de desacreditarlo con atropellos como el que, que no publicames por ciertos respetos  pero por pudor, deveras, ou debian los partidarios doitama, murlo la semana hut .  puisodin .  la dejsinos narrado.  les herumnos de lado, si se nos obliga a dar de este senor, y menos los que qiriza le sir bella senorita magdalena camacho, hija del nueva prueba do lo que hemos afirinado y 6 mostrar los aloances de la red tendida sobre d tesoro publico.  hacemos esta reproduccion porque juz fonees y las lisonjas de los que sirven incon gamas que es el caso de que el soflor marti.  dicionaliacute y de rodillas, co tionen no ra die twin del banco del conce en dez silva abandono ot silencio sucaredo que  parcialidad ninglana no tienea ceo detre gen latencia 6 in dificil situacion que atraviesa senores bolactores del diario de candidaturas ho explotado en todas las circunstancias aphaltes sensatas, y monos ou santaader donde la lese establecimiento con gran perjuen para."
26,63684,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_291__page_4.json,1881,Papel Periodico ilustrado,Cali,POSITIVO,"cion, tales como vestido militar, en cuerpo hacian especial hincapie las instrucciones, en la absolutap rescindencia de la capa , erguido y arrogante como en los dias de triunfo, y no abatido y taciturno como en los de desengano  con el tradicional sable al cinto, en vez de espada, que se asegura no uso jamas fresca la fisonomia, aunque sometiendose en el parecido a los retratos de su ultimo tiempo levantada la cabeza, como dominando sus huestes el torso, con el objeto de aligerar la figura, debia destacarse al aire, sin mas apoyo que las piernas  los brazos cruzados cual era su ordinaria actitud, etc.  puesto de acuerdo, como digo, con el senor cantini, y una vez que recibi la nota oficial del senor laza grau, secretario de fomento de la union, encomendandome la obra, procedi a la ejecucion de un modelo, pintado al oleo, de tamano algo menor que la mitad del natural, y con la sola condicion de mi parte, de que el honor que se ine dispensaba fuese mi unica remuneracion.  una vez que el senor presidente supo, por el senor cantini, que el modelo estaba suficientemente adelantado, me hizo el honor de visitar mi estudio, en compania del secretario de fomento, y acordadas las modificaciones que estos senores creyeron convenientes, el modelo fue suficientemente concluido y marcho a su destino."
27,68707,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_303__page_12.json,1881,Papel Periodico ilustrado,Cali,POSITIVO,"se acunado llevando este lema  the pride of england humbled by governor lesso.  pues bien, esa medalla con otras varias, de bronce unas y de cobre otras parece que son 16, formau una coleccion interesantisima traida por nuestro compatriota el senor d.  nicolas jose casas, quien, con una perseverancia y acuciosidad dignas de todo elogio, logro rennirlas en inglaterra, y es la que generosamente ha regalado a nuestro museo, y cuyas copias litografiadas se estan publicando en los anales de la instruccion publica.  persona muy competente y conocedora de todos los museos de europa me ha asegurado que ni el museo britanico ni el de madridlos dos mas ricos en esta materiaposeen una igual.  hombres como el senor casas son houra y gloria de nuestro pais, por su amor al estudio y por su patriotico desinteres.  y, si es que el gobierno nacional no le ha dirigido expresivas frases de agradecimiento por tan importante donacion, yo me permito hacerlo aqui, en nombre del museo y en nombre de usted y mio."
28,55999,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_383__page_21.json,1881,Papel Periodico ilustrado,Cali,NEUTRO,"diega bermudez a lozuelos en apoyo de bolivar, y el ejercito espanol se retira al juncal entran en barcelona las fuerzas de marino y bermudez resuelve el libertador abandonar a barcelona y trasladar todas sus fuerzas a guayana.  los habitantes de barcelona piden al libertador que les deje alguna fuerza para defender la ciudad, este, cediendo a las instancias de los barceloneses, nombra comandante de la plaza al general pedro maria freites sale el libertador para guayana, acompanado de 15 oficiales y algunos asistentes, siguiendole las tropas a ordenes de marino.  escapa de ser aprehendido en quiamare .  pasa el orinoco por la cabeza de la isla bernabela.  se reune a piar en los alrededores de angostura y confirma su plan de trasladar a guayana el teatro de las operaciones .  el mismo dia en que bolivar se reune a piar, sucumben los patriotas en la casa fuerte de barcelona.  se reune el libertador a las fuerzas de bermudez y sigue marcha hacia el orinoco.  pasa el orinoco arriba de la desembocadura del pao se reune cerca de angostura con el general piar, y es reconocido por todos los jefes que obraban sobre el orinoco, como jefe supremo de la republica ."
29,49151,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD697_Papel Periodico ilustrado_results/PD697_Papel Periodico ilustrado__p17054coll26_350__page_13.json,1881,Papel Periodico ilustrado,Cali,NEUTRO,"padre agustino dos lienzos que representan los conocidos y repetidos san francisco y santo domingo, de medio cuerpo.  estas imagenes debieron gozar de boga en aquella epoca, como que en bogota no mas se conocen iguales, de la misma mano, las dos que estan en la iglesia de la pena  las que adornan los pulpitos de la iglesia de franciscanos  el que pertenece a d.  rafael franco, de santo domingo, los que el senor d.  carlos pardo posee y el que nosotros conservamos, de san francisco.  este ultimo, seguramente, uno de los mas bellos ejemplares.  otro bueno se halla tambien en la capilla del sagrario.  refiere el senor groot que hubo cierta desavenencia entre vasquez y los dominicanos, despues de haberse comprometido aquel a trabajar varias obras, y que esa desavenencia impidio que los claustros del convento se cubrieran con bellos lienzos.  el ser este cuadro, con los restos de los otros que se conservan, mal que bien, en el museo nacional, lo unico que llego a concluir el artista, de la obra contratada, hace ver claramente la intencion de vasquez."
30,104728,/content/drive/MyDrive/19th_century_Latam_Newspapers/PD747_Colombia ilustrada_results/PD747_Colombia ilustrada__9__page_4.json,1889,Colombia ilustrada,Bogotá,POSITIVO,"d.  lazaro maria perez.  nosotros, que le profesamos particular afecto, y que admiramos sus bellas prendas personales e intelectuales, hemos querido tributarle asimismo, por medio de estas lineas, en su ausencia de la patria, un sincero testimonio de simpatia y consideracion.  bogota, 1. o de agosto de 1883.  ppemos apuntado ya que su novela martin florez desperto la curiosidad del publico y fue generalmente leida.  antes de esta habia escrito y publicado en el folletin de la revista americana la titulada las coincidencias, que es historica, por referir en ella varios acontecimientos de su vida, en especial la temprana muerte de su primera esposa, dona elvira levy, y que tiene especial atractivo por una serie de curiosas notas escritas para ilustrar a los lectores peruanos en el conocimien to de costumbres, tipos, voces locales y aun pueblos y ciudades de colombia.  luego compuso y dio al publico un drama intimo, florencio conde, coriolano, clemencia, el poeta soldado y la segunda edicion de los claveles de julia, que primero se publico en el folletin de la revista americana con el nombre de una taza de claveles."
